artist,count
will.i.am & Nicki Minaj,15
Tory Lanez & Rich The Kid,16
O.T. Genasis Featuring Young Dolph,20
Granger Smith,19
Bebe Rexha,32
Emeli Sande,20
Marshmello Featuring CHVRCHES,14
Luke Bryan Featuring Karen Fairchild,19
Jeremih Featuring 50 Cent,33
T.I. Featuring Iggy Azalea,20
Calvin Harris & Disciples,20
Pitbull Featuring Chris Brown,41
Tove Lo,74
Florida Georgia Line Featuring Tim McGraw,20
N*E*R*D & Rihanna,21
Fergie,21
Snoop Dogg Featuring The-Dream,11
T.I. Featuring Keri Hilson,20
Pitbull Featuring T-Pain,31
Rich The Kid Featuring Kendrick Lamar,19
Ella Henderson,20
Sean Kingston Featuring Nicki Minaj,20
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",42
Martin Garrix & Bebe Rexha,23
Calboy,26
"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",20
Taylor Swift Featuring Ed Sheeran & Future,13
21 Savage & Metro Boomin,21
A Boogie Wit da Hoodie Featuring Kodak Black,21
Kirko Bangz,22
Shinedown,16
Dylan Scott,31
Zedd Featuring Selena Gomez,16
Flo Rida Featuring Robin Thicke & Verdine White,14
Flume Featuring Kai,26
David Guetta Featuring Kid Cudi,18
Kane Brown,66
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",20
Blake Shelton Featuring Gwen Sebastian,16
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",20
Charlie Puth,95
Icona Pop Featuring Charli XCX,29
Portugal. The Man,44
Sage The Gemini Featuring IamSu!,25
Avril Lavigne,56
Robin Thicke Featuring Kendrick Lamar,12
Rachel Platten,51
DJ Khaled Featuring Jay Z & Future,17
Charlie Puth Featuring Meghan Trainor,20
Jay-Z + Swizz Beatz,14
Flo Rida,129
Brad Paisley Featuring Alabama,20
Big Sean,63
Drake Featuring Nicki Minaj,22
Shakira Featuring Lil Wayne,6
BTS,11
Lil Wayne Featuring Travis Scott,2
Chris Brown Featuring Lil Wayne & Busta Rhymes,27
Meghan Trainor,153
BTS Featuring Nicki Minaj,3
Nelly,36
PSY,46
Beyonce Featuring Jay Z,20
DJ Snake Featuring Justin Bieber,33
Madonna Featuring Nicki Minaj & M.I.A.,6
"Tyler, The Creator",13
Usher Featuring will.i.am,30
twenty one pilots,147
"Nicki Minaj, Drake & Lil Wayne",7
Kendrick Lamar Featuring Rihanna,26
"Migos, Nicki Minaj & Cardi B",21
Drake Featuring Lil Wayne,77
Lil Baby & Gunna Featuring Drake,8
Halsey,110
Bad Meets Evil Featuring Bruno Mars,22
Lil Wayne Featuring Bruno Mars,17
Kanye West Featuring PARTYNEXTDOOR,4
Britney Spears Featuring G-Eazy,9
Lil Dicky,6
Lil Wayne Featuring Eminem,20
Jay Sean Featuring Lil Wayne,18
Owl City & Carly Rae Jepsen,24
Kanye West Featuring Cam'ron & Consequence,1
DJ Khaled Featuring Drake,24
Kendrick Lamar Featuring Zacari,39
Daft Punk Featuring Pharrell Williams,29
Maejor Ali Featuring Juicy J & Justin Bieber,4
Lauren Alaina,14
Justin Bieber + BloodPop,10
Far*East Movement Featuring Justin Bieber,1
Drake Featuring Majid Jordan,33
G-Eazy & Halsey,19
Cardi B Featuring Migos,10
DJ Khaled Featuring Nipsey Hussle & John Legend,2
Kid Cudi Featuring Kanye West,5
Eminem Featuring Sia,4
Big Sean Featuring Eminem,3
Christina Aguilera,19
Colbie Caillat,82
Lil Pump,38
Eminem Featuring Royce Da 5'9,3
Glee Cast Featuring Neil Patrick Harris,2
Taio Cruz,47
PSY Featuring Snoop Dogg,1
Future & Juice WRLD,14
50 Cent Featuring Eminem & Adam Levine,3
Gesaffelstein & The Weeknd,6
BTS Featuring Desiigner,9
Lil Baby & Gunna,38
Eminem Featuring Dr. Dre,1
Sean Kingston & Justin Bieber,18
The Lonely Island Featuring Akon,11
Meek Mill Featuring Cardi B,2
Glee Cast Featuring Idina Menzel,2
Bad Meets Evil,2
Diddy - Dirty Money Featuring T.I.,20
Craig Wayne Boyd,3
Gucci Mane Featuring Migos,26
Young Jeezy Featuring Plies,15
Beyonce Featuring Kendrick Lamar,2
Bruno Mars & Cardi B,23
The Weeknd Featuring Gesaffelstein,2
Paramore,67
Lil Wayne Featuring Reginae Carter,1
Alicia Keys Featuring Nicki Minaj,30
"Kanye West, Big Sean, Pusha T, 2 Chainz",32
Drake Featuring Future,9
Kenny Chesney & Tim McGraw,7
Panic! At The Disco,70
David Bowie,3
Drake Featuring Giggs,4
iLoveMemphis,21
XXXTentacion Featuring Trippie Redd,7
Dean Martin,4
Katy Perry Featuring Kanye West,30
Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,1
Perry Como & The Fontane Sisters,1
Usher Featuring Nicki Minaj,18
Nicki Minaj Featuring Beyonce,20
T-Wayne,20
Khalid & Normani,51
Logic & Marshmello,13
DJ Khaled Featuring SZA,4
T.I.,19
Jose Feliciano,4
Lana Del Rey,31
Zayn Featuring Sia,16
Waka Flocka Flame Featuring Roscoe Dash & Wale,32
Adam Levine & Javier Colon,1
2 Chainz Featuring Drake,26
Romeo Santos Featuring Drake,11
Drake Featuring Jorja Smith & Black Coffee,2
